dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PCEPI,HOUST,SP500,EXUSUKx,GS5,GS10,BAAFFM
716058,2.19856684696325,2.43374435931187,-4.17500070501209,79.7275,5.5,-0.927715546785635,39.6,5.34522041925616,3.58744661803954,2.11286900764609,7.08757370555797,-30.1342094590229,2.43802546838232,3.79,3.9,1.99
716089,-1.94857984187848,-1.11759396688527,-1.39490104734481,79.0505,5.6,-0.751533484380928,39.4,5.32151648143877,-3.58744661803954,2.03648754858818,7.20340552108309,14.3125862251622,0.768874834975364,3.62,3.8,2.1
716120,1.5291601786533,5.70851611016003,-12.6225247035492,77.9187,5.5,-0.995400936345447,39.1,0,0,0.726480225602977,7.00033446027523,-36.653945500472,1.06706510792618,3.61,3.8,2.41
716150,3.54435227936385,5.8117818278431,-1.41130032931986,77.5287,6.1,-1.88245754629719,39.4,5.29802185094033,10.7303248507939,1.37910192103305,7.1276936993474,-23.8813851807544,-0.469391752513371,3.76,3.89,2.64
716181,-5.15294193635043,-4.17641402588043,-17.0611809539974,75.7724,6.1,-4.01839362394938,39,-5.29802185094033,0,4.05552588784985,7.1276936993474,38.2449951916955,0.853303029626851,3.81,3.93,2.64
716211,-5.48398223213624,-14.7991680838922,-23.1340139748516,74.2557,6.6,-4.8800936313981,38,0,-3.5661244669889,0.216874002819267,6.96885037834195,28.4327899919553,-2.64721687145668,3.67,3.84,3.12
716242,10.7067089754235,2.90845135216564,1.45934466023032,74.1095,6.6,-1.31812905969184,39.2,5.29802185094033,0,0.216834814624178,7.07580886397839,60.1567763326603,-0.427517906833952,3.67,3.84,3.65
716273,4.58248077786649,4.41528272080944,-1.45934466023032,73.512,6.9,-2.81984463960967,39.2,5.27473376764549,3.5661244669889,1.15579108381176,7.11151211649616,48.2467147323078,-2.78258512566376,3.66,3.78,2.53
716301,4.94772444794194,14.8396192860796,7.27904039622356,73.8637,6.9,2.28324199609773,39.1,0,-3.5661244669889,-0.72223896251824,7.17930796950403,37.0605113521279,-1.02904926447644,3.6,3.74,3
716332,2.60256035716466,0.584589580968142,24.4133179446015,75.3829,7,-0.715843654134574,39.1,5.25164951975881,-7.16420038380505,-0.722673915247007,7.06133436691044,31.58320048612,0.257345057816405,3.57,3.78,3.52
716362,9.29853670856069,7.25116854334988,18.3422032666222,76.356,7.1,3.55264519862715,39.3,5.22876644274688,-3.59820359550778,0.65042610523669,7.11314210870709,12.1515434184271,-1.7596255008244,3.47,3.71,3.03
716393,11.2469659501794,2.90112156776434,16.6855905054863,77.3241,6.9,4.25378358074084,39.6,5.20608191831786,0,0.57786072265813,7.23128700432762,-15.9857041546235,-1.80522259052651,3.81,3.88,3.3
716423,3.41995395403352,-3.61135268262984,13.7337008367508,78.1087,7,3.24144507916557,39.7,0,0,2.59693518846849,7.19668657083435,-3.2962022861561,-1.03277636727084,3.84,3.92,3.92
716454,0.662970850546429,4.31945022751705,10.8700173798939,78.9783,6.6,3.87379165231323,39.7,5.18359337341958,3.59820359550778,1.0084034206864,7.17930796950403,42.3371989780584,6.65440053793258,3.96,4.04,3.11
716485,1.47175823419694,6.67417090275038,-1.35399093374193,78.1562,6.7,1.98737693328468,39.2,0,-3.59820359550778,1.3671935038122,7.26473017792987,-9.41878215690046,3.97499962763472,3.9,3.98,3.24
716515,11.7626348921608,7.5279353735942,22.8078174426091,79.5528,6.5,2.95289837739077,40,10.3004924296698,0,-0.0719187318546588,7.25488481007734,13.1303986367801,1.36470268457947,3.8,3.92,2.87
716546,10.6899803510284,11.5190757932652,18.4619392389257,80.7658,6.1,4.83233922900297,40.2,5.11727854374908,3.59820359550778,0.0719187318546588,7.23345541862144,53.1579577324127,-0.213132515701275,3.82,3.94,2.5
716576,7.20337019962685,8.28585182508359,10.4215310538454,81.6041,6,2.84635307790211,39.7,0,0,0.287631832633295,7.21890970761906,11.0909625812226,-2.26153502797954,3.91,4.06,2.77
716607,-1.14226218965854,0.375273640085183,-10.4215310538454,80.2408,5.8,0.415440544222889,39.3,5.09554905774134,3.58744661803954,2.226812168146,7.21597500265147,-45.5135868039061,0.597800958881134,3.94,4.08,2.93
716638,4.96972401147708,-0.562954478775701,19.4707810429007,81.4267,5.5,6.47536523429793,39.9,0,3.57675376576552,3.29670537016629,7.15305163493748,19.8152251672855,1.53583638712256,3.89,4.04,2.7
716666,8.24495182967766,9.90685550984285,6.42222333966647,81.8912,5.6,1.8902260772677,40.1,5.07400333142547,-3.57675376576552,1.57348931830832,7.27447955877387,1.19564453703411,0.298406722793931,3.68,3.93,2.19
